Extraction attempted for 145 files.
Successfully processed: 145
Totally failed files: 0

============================================================
LOG OF MISSING REQUIRED FIELDS (FILES WERE PROCESSED)
============================================================

[RBPR-138919-2025.json] Missing/Empty: summary.Result[0].ScheduledStartDate
[RBPR-138919-2025.json] Missing/Empty: summary.Result[1].ActivityStatusName
[RBPR-138919-2025.json] Missing/Empty: summary.Result[1].ScheduledStartDate
[RBPR-138919-2025.json] Missing/Empty: summary.Result[2].ActivityStatusName
[RBPR-138919-2025.json] Missing/Empty: summary.Result[2].ScheduledStartDate
[RBPR-138919-2025.json] Missing/Empty: summary.Result[3].ActivityStatusName
[RBPR-138919-2025.json] Missing/Empty: summary.Result[3].ScheduledStartDate
[RBPR-138919-2025.json] Missing/Empty: summary.Result[4].ActivityStatusName
[RBPR-138919-2025.json] Missing/Empty: summary.Result[4].ScheduledStartDate
[RBPR-138919-2025.json] Missing/Empty: summary.Result[8].ScheduledStartDate
[RBPR-138919-2025.json] Missing/Empty: summary.Result[28].ActivityStatusName
[RBPR-138919-2025.json] Missing/Empty: summary.Result[28].CompletedOn
[RBPR-138919-2025.json] Missing/Empty: summary.Result[28].ScheduledStartDate
[RBPR-138919-2025.json] Missing/Empty: summary.Result[29].ActivityStatusName
[RBPR-138919-2025.json] Missing/Empty: summary.Result[29].CompletedOn
[RBPR-138919-2025.json] Missing/Empty: summary.Result[29].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: permit.FinalizeDate
[RBPR-139106-2025.json] Missing/Empty: permit.ProjectName
[RBPR-139106-2025.json] Missing/Empty: permit.MainAddressInfo.AddressLine3
[RBPR-139106-2025.json] Missing/Empty: permit.MainAddressInfo.State
[RBPR-139106-2025.json] Missing/Empty: permit.MainAddressInfo.County
[RBPR-139106-2025.json] Missing/Empty: permit.MainAddressInfo.Country
[RBPR-139106-2025.json] Missing/Empty: contacts.Result[1].Title
[RBPR-139106-2025.json] Missing/Empty: contacts.Result[3].Title
[RBPR-139106-2025.json] Missing/Empty: contacts.Result[6].Title
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[0].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[1].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[2].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[3].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[4].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[5].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[6].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[7].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[8].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[9].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[10].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[11].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[12].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[13].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[14].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[15].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[16].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[17].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[18].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[19].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[20].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[21].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[22].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[23].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[24].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[25].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[26].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[27].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[28].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[29].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: inspections.Result[30].WorkflowActionId
[RBPR-139106-2025.json] Missing/Empty: summary.Result[0].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[0].CompletedOn
[RBPR-139106-2025.json] Missing/Empty: summary.Result[0].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[1].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[1].CompletedOn
[RBPR-139106-2025.json] Missing/Empty: summary.Result[1].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[2].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[2].CompletedOn
[RBPR-139106-2025.json] Missing/Empty: summary.Result[2].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[3].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[3].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[4].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[4].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[5].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[5].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[6].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[6].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[7].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[7].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[8].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[8].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[9].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[9].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[10].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[10].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[38].ActivityStatusName
